gene_name	source	accession	description
GRMZM5G891801	RefSeq peptide	YP_588414	hypothetical protein ZeamMp169 
GRMZM5G856189	RefSeq peptide	YP_588413	hypothetical protein ZeamMp168 
GRMZM5G851130	RefSeq peptide	YP_588412	ribosomal protein S2 
GRMZM5G822734	RefSeq peptide	YP_588411	hypothetical protein ZeamMp166 
GRMZM5G865196	RefSeq peptide	YP_588410	hypothetical protein ZeamMp165 
GRMZM5G838963	RefSeq peptide	YP_588422	hypothetical protein ZeamMp177 
GRMZM5G829375	UniProtKB/Swiss-Prot	P05494	ATP synthase subunit alpha, mitochondrial 
GRMZM5G805940	RefSeq peptide	YP_588407	hypothetical protein ZeamMp162 
GRMZM5G884538	UniProtKB/Swiss-Prot	P09138	Cytochrome c oxidase subunit 3 (EC 1.9.3.1)(Cytochrome c oxidase polypeptide III)
GRMZM5G845792	RefSeq peptide	YP_588405	hypothetical protein ZeamMp160 
GRMZM5G890451	RefSeq peptide	YP_588404	ribosomal protein S7 
GRMZM5G805421	RefSeq peptide	YP_588401	hypothetical protein ZeamMp154 
GRMZM5G845496	RefSeq peptide	YP_588400	hypothetical protein ZeamMp153 
GRMZM5G841441	RefSeq peptide	YP_588398	hypothetical protein ZeamMp151 
GRMZM5G821687	UniProtKB/TrEMBL	B6U883	Putative uncharacterized protein 
GRMZM5G822170	RefSeq peptide	YP_588396	hypothetical protein ZeamMp149 
GRMZM5G819109	RefSeq peptide	YP_588395	hypothetical protein ZeamMp148 
GRMZM5G861212	RefSeq peptide	YP_588394	hypothetical protein ZeamMp145 
GRMZM5G801746	RefSeq peptide	YP_588393	hypothetical protein ZeamMp144 
GRMZM5G878344	RefSeq peptide	YP_588392	hypothetical protein ZeamMp143 
GRMZM5G874394	RefSeq peptide	YP_588391	hypothetical protein ZeamMp142 
GRMZM5G838554	RefSeq peptide	YP_588390	hypothetical protein ZeamMp141 
GRMZM5G874740	RefSeq peptide	YP_588389	hypothetical protein ZeamMp140 
GRMZM5G846968	RefSeq peptide	YP_588388	hypothetical protein ZeamMp138 
GRMZM5G807592	RefSeq peptide	YP_588387	hypothetical protein ZeamMp137 
GRMZM5G844331	RefSeq peptide	YP_588385	hypothetical protein ZeamMp135 
GRMZM5G899892	RefSeq peptide	YP_588384	hypothetical protein ZeamMp132 
GRMZM5G861353	UniProtKB/Swiss-Prot	Q37082	Uncharacterized protein ycf72 (ORF137)
GRMZM5G827951	RefSeq peptide	YP_588382	hypothetical protein ZeamMp129 
GRMZM5G889905	RefSeq peptide	YP_588381	cytochrome c biogenesis B 
GRMZM5G848448	RefSeq peptide	YP_588380	hypothetical protein ZeamMp125 
GRMZM5G842963	RefSeq peptide	YP_588379	hypothetical protein ZeamMp124 
GRMZM5G809376	RefSeq peptide	NP_043073	hypothetical protein ZemaCp072 
GRMZM5G826672	RefSeq peptide	YP_588378	hypothetical protein ZeamMp121 
GRMZM5G800101	UniProtKB/Swiss-Prot	P0CD59	NAD(P)H-quinone oxidoreductase subunit 2 B, chloroplastic (EC 1.6.5.-)(NAD(P)H dehydrogenase, subunit 2 B)(NADH-plastoquinone oxidoreductase subunit 2 B)
GRMZM5G807514	UniProtKB/TrEMBL	Q5SBI0	NADH-ubiquinone oxidoreductase chain 1 Fragment (EC 1.6.5.3)
GRMZM5G887290	UniProtKB/Swiss-Prot	P08977	Ribosomal protein S13, mitochondrial 
GRMZM5G851921	RefSeq peptide	YP_588374	hypothetical protein ZeamMp114 
GRMZM5G884707	UniProtKB/Swiss-Prot	P04165	Cytochrome b (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)(Cytochrome b-c1 complex subunit 3)(Complex III subunit 3)(Complex III subunit III)
GRMZM5G857320	RefSeq peptide	YP_588372	hypothetical protein ZeamMp112 
GRMZM5G826322	RefSeq peptide	YP_588371	hypothetical protein ZeamMp111 
GRMZM5G815020	RefSeq peptide	YP_588370	hypothetical protein ZeamMp110 
GRMZM5G834995	RefSeq peptide	YP_588369	hypothetical protein ZeamMp109 
GRMZM5G815325	UniProtKB/Swiss-Prot	P00840	ATP synthase subunit 9, mitochondrial (EC 3.6.3.14)(Lipid-binding protein)
GRMZM5G881661	RefSeq peptide	YP_588367	hypothetical protein ZeamMp107 
GRMZM5G883882	RefSeq peptide	YP_588366	hypothetical protein ZeamMp106 
GRMZM5G875046	RefSeq peptide	YP_588365	hypothetical protein ZeamMp105 
GRMZM5G828883	RefSeq peptide	YP_588364	hypothetical protein ZeamMp104 
GRMZM5G846068	RefSeq peptide	YP_588363	hypothetical protein ZeamMp103 
GRMZM5G870438	RefSeq peptide	YP_588362	hypothetical protein ZeamMp101 
GRMZM5G808200	UniProtKB/TrEMBL	Q6R9E7	Putative uncharacterized protein orf160-b 
GRMZM5G880015	UniProtKB/TrEMBL	Q6R9E8	Putative uncharacterized protein orf152 
GRMZM5G867512	RefSeq peptide	YP_588359	cytochrome c biogenesis FN 
GRMZM5G889790	RefSeq peptide	YP_588357	hypothetical protein ZeamMp096 
GRMZM5G851769	RefSeq peptide	YP_588356	maturase 
GRMZM5G856314	UniProtKB/TrEMBL	Q36276	NADH-ubiquinone oxidoreductase chain 1 Fragment (EC 1.6.5.3)
GRMZM5G834666	RefSeq peptide	YP_588355	hypothetical protein ZeamMp094 
GRMZM5G876913	RefSeq peptide	YP_740388	NADH dehydrogenase subunit 3 
GRMZM5G881135	UniProtKB/Swiss-Prot	P60099	Ribosomal protein S12, mitochondrial 
GRMZM5G889036	RefSeq peptide	YP_588352	hypothetical protein ZeamMp091 
GRMZM5G884365	UniProtKB/Swiss-Prot	Q36284	NADH-ubiquinone oxidoreductase chain 5 Fragment (EC 1.6.5.3)(NADH dehydrogenase subunit 5)
GRMZM5G833299	UniProtKB/Swiss-Prot	P10579	Uncharacterized 39 kDa protein in mitochondrial S-1 and S-2 DNA (URF 2)
GRMZM5G827309	UniProtKB/Swiss-Prot	P10581	Probable DNA-directed RNA polymerase (EC 2.7.7.6)(S-2 DNA ORF1)
GRMZM5G856027	RefSeq peptide	YP_588347	NADH dehydrogenase subunit 7 
GRMZM5G866990	RefSeq peptide	YP_588346	hypothetical protein ZeamMp084 
GRMZM5G834298	RefSeq peptide	YP_588345	hypothetical protein ZeamMp083 
GRMZM5G824660	RefSeq peptide	YP_588344	hypothetical protein ZeamMp082 
GRMZM5G816772	RefSeq peptide	YP_588343	ATPase subunit 8 
GRMZM5G845230	RefSeq peptide	YP_588342	hypothetical protein ZeamMp080 
GRMZM5G882520	RefSeq peptide	YP_588341	hypothetical protein ZeamMp079 
GRMZM5G873916	RefSeq peptide	YP_588340	hypothetical protein ZeamMp078 
GRMZM5G872899	RefSeq peptide	YP_588339	hypothetical protein ZeamMp077 
GRMZM5G850100	RefSeq peptide	YP_588338	hypothetical protein ZeamMp076 
GRMZM5G851599	RefSeq peptide	YP_588337	hypothetical protein ZeamMp075 
GRMZM5G836408	RefSeq peptide	YP_588336	hypothetical protein ZeamMp074 
GRMZM5G825253	RefSeq peptide	YP_588335	hypothetical protein ZeamMp073 
GRMZM5G834128	RefSeq peptide	YP_588334	NADH dehydrogenase subunit 5 
GRMZM5G834207	RefSeq peptide	YP_588333	hypothetical protein ZeamMp070 
GRMZM5G898647	RefSeq peptide	YP_588332	cytochrome c biogenesis C 
GRMZM5G837015	RefSeq peptide	YP_588331	hypothetical protein ZeamMp068 
GRMZM5G853939	RefSeq peptide	YP_588330	hypothetical protein ZeamMp067 
GRMZM5G822401	RefSeq peptide	YP_588329	hypothetical protein ZeamMp066 
GRMZM5G814594	RefSeq peptide	YP_588328	hypothetical protein ZeamMp065 
GRMZM5G808238	RefSeq peptide	YP_588327	chloroplast hypothetical protein 
GRMZM5G876568	UniProtKB/TrEMBL	C4J542	Putative uncharacterized protein 
GRMZM5G844657	RefSeq peptide	YP_588326	hypothetical protein ZeamMp063 
GRMZM5G817985	RefSeq peptide	YP_588325	hypothetical protein ZeamMp062 
GRMZM5G844605	RefSeq peptide	YP_588324	hypothetical protein ZeamMp061 
GRMZM5G871099	RefSeq peptide	YP_588323	hypothetical protein ZeamMp060 
GRMZM5G889663	RefSeq peptide	YP_588322	hypothetical protein ZeamMp059 
GRMZM5G824316	RefSeq peptide	YP_588321	hypothetical protein ZeamMp058 
GRMZM5G861791	UniProtKB/Swiss-Prot	P27928	Ribosomal protein S3, mitochondrial 
GRMZM5G866979	RefSeq peptide	YP_588316	hypothetical protein ZeamMp054 
GRMZM5G875789	RefSeq peptide	YP_588315	hypothetical protein ZeamMp053 
GRMZM5G890747	RefSeq peptide	YP_588314	hypothetical protein ZeamMp052 
GRMZM5G884912	UniProtKB/Swiss-Prot	P09004	ATP synthase protein MI25 (ORF 25)
GRMZM5G845024	RefSeq peptide	YP_588312	hypothetical protein ZeamMp050 
GRMZM5G863003	RefSeq peptide	YP_588311	hypothetical protein ZeamMp049 
GRMZM5G897615	RefSeq peptide	YP_588309	hypothetical protein ZeamMp047 
GRMZM5G898772	RefSeq peptide	YP_588307	hypothetical protein ZeamMp045 
GRMZM5G847446	RefSeq peptide	YP_588305	hypothetical protein ZeamMp043 
GRMZM5G840559	RefSeq peptide	YP_588267	NADH dehydrogenase subunit 2 
GRMZM5G819258	RefSeq peptide	YP_588302	hypothetical protein ZeamMp040 
GRMZM5G813949	RefSeq peptide	YP_588301	hypothetical protein ZeamMp039 
GRMZM5G871174	RefSeq peptide	YP_588299	hypothetical protein ZeamMp037 
GRMZM5G839924	RefSeq peptide	YP_588298	NADH dehydrogenase subunit 9 
GRMZM5G858045	RefSeq peptide	YP_588297	hypothetical protein ZeamMp035 
GRMZM5G867842	RefSeq peptide	YP_588295	cytochrome c biogenesis FC 
GRMZM5G804358	RefSeq peptide	YP_588294	NADH dehydrogenase subunit 4 
GRMZM5G897626	RefSeq peptide	YP_588326	hypothetical protein ZeamMp063 
GRMZM5G834908	RefSeq peptide	YP_588325	hypothetical protein ZeamMp062 
GRMZM5G849018	RefSeq peptide	YP_588324	hypothetical protein ZeamMp061 
GRMZM5G856972	RefSeq peptide	YP_588323	hypothetical protein ZeamMp060 
GRMZM5G882639	RefSeq peptide	YP_588322	hypothetical protein ZeamMp059 
GRMZM5G877040	RefSeq peptide	YP_588287	hypothetical protein ZeamMp023 
GRMZM5G889299	RefSeq peptide	YP_588286	hypothetical protein ZeamMp022 
GRMZM5G816274	RefSeq peptide	YP_588307	hypothetical protein ZeamMp045 
GRMZM5G852144	RefSeq peptide	YP_588309	hypothetical protein ZeamMp047 
GRMZM5G860062	RefSeq peptide	YP_588281	hypothetical protein ZeamMp015 
GRMZM5G802612	RefSeq peptide	YP_588279	hypothetical protein ZeamMp013 
GRMZM5G851708	RefSeq peptide	YP_588278	NADH dehydrogenase subunit 4L 
GRMZM5G892769	RefSeq peptide	YP_588276	hypothetical protein ZeamMp010 
GRMZM5G849223	RefSeq peptide	YP_588274	ribosomal protein S4 
GRMZM5G853409	RefSeq peptide	YP_588273	hypothetical protein ZeamMp007 
GRMZM5G806435	UniProtKB/Swiss-Prot	P10582	DNA polymerase (EC 2.7.7.7)(S-1 DNA ORF 3)
GRMZM5G816453	UniProtKB/Swiss-Prot	P10580	Uncharacterized 29 kDa protein in mitochondrial S-1 DNA (URF 4)
GRMZM2G091921	RefSeq peptide	NP_001148673	ribosomal protein L32 containing protein 
GRMZM2G412674	RefSeq peptide	NP_001147489	kelch motif family protein 
GRMZM5G873096	UniProtKB/TrEMBL	C4IYA3	Putative uncharacterized protein 
GRMZM5G850455	RefSeq peptide	NP_001132744	hypothetical protein LOC100194231 
GRMZM2G124051	RefSeq peptide	NP_001147019	CCR4-NOT transcription complex subunit 6 
GRMZM5G805973	UniProtKB/TrEMBL	C4J3F1	Putative uncharacterized protein 
GRMZM2G020523	RefSeq peptide	NP_001140437	hypothetical protein LOC100272496 
GRMZM2G057412	RefSeq peptide	NP_001147680	interferon-related developmental regulator 2 
GRMZM5G887922	RefSeq peptide	NP_001145762	hypothetical protein LOC100279269 
GRMZM5G824123	UniProtKB/TrEMBL	C0PLL4	Putative uncharacterized protein 
GRMZM2G491632	RefSeq peptide	NP_001146845	zinc finger protein 593 
GRMZM2G076468	UniProtKB/TrEMBL	C4JBD9	Putative uncharacterized protein 
GRMZM5G808775	RefSeq peptide	NP_001169869	hypothetical protein LOC100383763 
GRMZM2G432566	RefSeq peptide	NP_001169385	hypothetical protein LOC100383253 
AC166636.1_FG009	RefSeq peptide	NP_001169625	hypothetical protein LOC100383506 
AC166636.1_FG008	RefSeq peptide	NP_001147620	LOC100281229 
GRMZM2G164734	RefSeq peptide	NP_001169312	hypothetical protein LOC100383176 
GRMZM5G803927	UniProtKB/TrEMBL	C0PEW0	Putative uncharacterized protein 
GRMZM2G549512	RefSeq peptide	NP_001151453	WRKY transcription factor 4 
GRMZM5G801241	RefSeq peptide	NP_001148628	mitochondrial import inner membrane translocase subunit Tim8 
GRMZM5G821611	RefSeq peptide	NP_001149872	palmitoyltransferase ZDHHC9 
GRMZM2G123305	RefSeq peptide	NP_001148711	exosome complex exonuclease RRP43 
GRMZM2G459097	RefSeq peptide	NP_001144435	hypothetical protein LOC100277396 
GRMZM5G886820	UniProtKB/TrEMBL	C0PHT3	Putative uncharacterized protein 
GRMZM5G824862	UniProtKB/TrEMBL	C0PJY5	Putative uncharacterized protein 
GRMZM2G553379	RefSeq peptide	NP_001105147	m15 protein 
GRMZM2G179147	RefSeq peptide	NP_001169802	hypothetical protein LOC100383693 
GRMZM5G859801	UniProtKB/TrEMBL	C0PGL9	Putative uncharacterized protein 
GRMZM2G181637	RefSeq peptide	NP_001132786	hypothetical protein LOC100194275 
GRMZM5G833097	UniProtKB/TrEMBL	C4J774	Putative uncharacterized protein 
GRMZM5G849796	RefSeq peptide	NP_001168773	hypothetical protein LOC100382570 
GRMZM2G092959	RefSeq peptide	NP_001168918	hypothetical protein LOC100382728 
AC233960.1_FG002	RefSeq peptide	NP_001105179	alternative oxidase AOX1 precursor 
GRMZM5G889250	RefSeq peptide	NP_001168001	hypothetical protein LOC100381722 
GRMZM5G850422	RefSeq peptide	NP_001170751	hypothetical protein LOC100384843 
GRMZM2G313649	RefSeq peptide	NP_001146448	hypothetical protein LOC100280033 
GRMZM5G823750	RefSeq peptide	NP_001132641	hypothetical protein LOC100194116 
GRMZM2G008095	RefSeq peptide	NP_001149600	protein SFT2 
GRMZM2G040209	RefSeq peptide	NP_001148767	NADH-ubiquinone oxidoreductase 51 kDa subunit 
GRMZM2G322618	RefSeq peptide	NP_001149922	LOC100283550 
GRMZM2G126988	RefSeq peptide	NP_001108120	starch synthase IIc precursor 
GRMZM5G894807	UniProtKB/TrEMBL	C4IZI0	Putative uncharacterized protein 
GRMZM2G049347	RefSeq peptide	NP_001130533	hypothetical protein LOC100191632 
GRMZM5G818192	RefSeq peptide	NP_001140684	hypothetical protein LOC100272759 
GRMZM2G021129	RefSeq peptide	NP_001136966	transmembrane emp24 domain-containing protein 10 
GRMZM5G891990	UniProtKB/TrEMBL	C4J9R7	Putative uncharacterized protein 
GRMZM5G801409	RefSeq peptide	NP_001131208	hypothetical protein LOC100192516 
GRMZM2G160906	RefSeq DNA	NM_001152579	hypothetical protein LOC100279582 (LOC100279582), mRNA
GRMZM5G820727	RefSeq peptide	NP_001148169	serine esterase family protein 
GRMZM2G077127	RefSeq peptide	NP_001150635	LOC100284268 
GRMZM5G895573	UniProtKB/TrEMBL	B6UCX3	Putative uncharacterized protein 
GRMZM5G822582	RefSeq peptide	YP_588321	hypothetical protein ZeamMp058 
GRMZM2G546811	RefSeq peptide	YP_588322	hypothetical protein ZeamMp059 
GRMZM2G109740	RefSeq peptide	YP_588324	hypothetical protein ZeamMp061 
GRMZM5G844065	RefSeq peptide	YP_588325	hypothetical protein ZeamMp062 
GRMZM5G834495	RefSeq peptide	YP_588326	hypothetical protein ZeamMp063 
GRMZM2G109789	RefSeq peptide	YP_588328	hypothetical protein ZeamMp065 
GRMZM2G546911	RefSeq peptide	YP_588330	hypothetical protein ZeamMp067 
GRMZM5G833635	RefSeq peptide	YP_588333	hypothetical protein ZeamMp070 
GRMZM5G827449	RefSeq peptide	YP_588334	NADH dehydrogenase subunit 5 
GRMZM5G869778	RefSeq peptide	YP_588338	hypothetical protein ZeamMp076 
GRMZM5G821779	RefSeq peptide	YP_588339	hypothetical protein ZeamMp077 
GRMZM5G885990	RefSeq peptide	YP_588341	hypothetical protein ZeamMp079 
GRMZM5G846362	RefSeq peptide	YP_588342	hypothetical protein ZeamMp080 
GRMZM5G897562	RefSeq peptide	YP_588344	hypothetical protein ZeamMp082 
GRMZM5G877707	RefSeq peptide	YP_588345	hypothetical protein ZeamMp083 
GRMZM5G818629	UniProtKB/TrEMBL	Q1KKD4	Putative uncharacterized protein orf130-b 
GRMZM5G889138	RefSeq peptide	YP_588347	NADH dehydrogenase subunit 7 
GRMZM5G863208	RefSeq peptide	YP_588404	ribosomal protein S7 
GRMZM5G820250	UniProtKB/Swiss-Prot	P09138	Cytochrome c oxidase subunit 3 (EC 1.9.3.1)(Cytochrome c oxidase polypeptide III)
GRMZM5G893974	RefSeq peptide	YP_588407	hypothetical protein ZeamMp162 
GRMZM5G804814	RefSeq peptide	YP_588425	hypothetical protein ZeamMp181 
GRMZM5G816243	RefSeq peptide	YP_588424	hypothetical protein ZeamMp180 
GRMZM5G858772	UniProtKB/TrEMBL	Q36748	Cytochrome oxidase subunit II Fragment 
GRMZM5G840048	UniProtKB/TrEMBL	C4J5H8	Putative uncharacterized protein 
GRMZM5G847744	UniProtKB/TrEMBL	C4J349	Putative uncharacterized protein 
GRMZM5G804772	RefSeq peptide	NP_001140420	hypothetical protein LOC100272476 
GRMZM5G898006	RefSeq peptide	NP_001146440	hypothetical protein LOC100280023 
GRMZM5G825090	RefSeq peptide	NP_001140420	hypothetical protein LOC100272476 
GRMZM2G054916	RefSeq DNA	NM_001153568	LOC100280650 (pco130570), mRNA
GRMZM5G871262	RefSeq peptide	NP_001130482	hypothetical protein LOC100191580 
GRMZM5G894976	UniProtKB/TrEMBL	C4J648	Putative uncharacterized protein 
GRMZM5G884986	UniProtKB/TrEMBL	C0PLM0	Putative uncharacterized protein 
GRMZM2G069008	RefSeq peptide	NP_001144169	hypothetical protein LOC100277024 
GRMZM2G152573	RefSeq peptide	NP_001151941	60S ribosomal protein L34 
GRMZM5G890820	RefSeq DNA	NM_001143131	hypothetical protein LOC100216726 (LOC100216726), mRNA
GRMZM2G014902	RefSeq peptide	NP_001147482	LHY protein 
GRMZM5G814904	RefSeq DNA	NM_001112577	flavonoid O-methyltransferase (LOC100125646), mRNA
GRMZM5G801019	RefSeq peptide	NP_001140393	hypothetical protein LOC100272447 
GRMZM5G852613	UniProtKB/TrEMBL	B6TZV2	Putative uncharacterized protein 
GRMZM5G878250	RefSeq peptide	NP_001169488	hypothetical protein LOC100383361 
GRMZM5G868981	RefSeq peptide	NP_001140794	hypothetical protein LOC100272869 
GRMZM2G084799	RefSeq DNA	NM_001111873	pericarp color1 (p1), mRNA
GRMZM5G819965	UniProtKB/TrEMBL	Q946U8	Long cell-linked locus protein 
GRMZM5G860612	UniProtKB/TrEMBL	C0PHR5	Putative uncharacterized protein 
GRMZM2G480850	RefSeq peptide	NP_001148040	CP12-1 
GRMZM2G080044	RefSeq peptide	NP_001148870	NADH dehydrogenase 
GRMZM5G872861	UniProtKB/TrEMBL	C0PM47	Putative uncharacterized protein 
GRMZM5G814279	UniProtKB/TrEMBL	B4FWU7	Putative uncharacterized protein 
GRMZM2G006672	RefSeq peptide	NP_001141883	hypothetical protein LOC100274026 
GRMZM5G862101	RefSeq peptide	NP_001132243	hypothetical protein LOC100193678 
GRMZM5G878346	RefSeq peptide	NP_001168030	hypothetical protein LOC100381757 
GRMZM2G127924	UniProtKB/TrEMBL	C0P405	Putative uncharacterized protein 
GRMZM5G889520	RefSeq peptide	NP_001151720	ABC-type Co2+ transport system, permease component 
GRMZM2G453438	RefSeq peptide	NP_001170640	hypothetical protein LOC100384693 
GRMZM2G145376	RefSeq DNA	NM_001151295	hypothetical protein LOC100277826 (LOC100277826), mRNA
GRMZM5G869334	UniProtKB/TrEMBL	C0PIX6	Putative uncharacterized protein 
GRMZM2G124567	RefSeq peptide	NP_001132698	hypothetical protein LOC100194178 
GRMZM5G809156	UniProtKB/TrEMBL	C0PI57	Putative uncharacterized protein 
GRMZM2G005869	RefSeq peptide	NP_001147964	LOC100281573 
GRMZM2G082346	RefSeq peptide	NP_001143686	hypothetical protein LOC100276415 
GRMZM5G869989	UniProtKB/TrEMBL	B6SM83	Putative uncharacterized protein 
GRMZM5G845960	UniProtKB/TrEMBL	C0PBF7	Putative uncharacterized protein 
GRMZM5G815569	UniProtKB/TrEMBL	C4IZX9	Putative uncharacterized protein 
GRMZM2G577677	RefSeq peptide	NP_001148386	LOC100281999 
GRMZM5G822100	RefSeq peptide	NP_001151318	flavonoid 3-monooxygenase 
GRMZM5G864088	UniProtKB/TrEMBL	C0P7R0	Putative uncharacterized protein 
GRMZM5G841476	UniProtKB/TrEMBL	C0PL71	Putative uncharacterized protein 
GRMZM2G107761	RefSeq peptide	NP_001151851	disulfide oxidoreductase/ monooxygenase/ oxidoreductase 
GRMZM2G173354	RefSeq peptide	NP_001141475	hypothetical protein LOC100273585 
