GeneSymbol	altName	NCBI_Accession	Chr	Start	End	Zma_alias	Zma_fullname	Zma_description	Ara_ortholog	Ara_alias	Annotation	TF	EC	KO	GO
AC217050.4_FG001	AC217050.4_FG001	-	-	-	-	-	-	-	AT5G16040		Regulator of chromosome condensation (RCC1) family protein	-			
AC217050.4_FG001	AC217050.4_FG001	-	-	-	-	-	-	-	AT5G16040		Regulator of chromosome condensation (RCC1) family protein	-			
GRMZM2G008607	GRMZM2G008607	NP_001144038	-	-	-	-	-	hypothetical protein LOC100276862 	AT1G07040			-			
GRMZM2G019806	bhlh137	NP_001132631	Chr1	271,047,086	271,049,436	bhlh137	bHLH-transcription factor 137	hypothetical protein LOC100194106 	AT4G37850		basic helix-loop-helix (bHLH) DNA-binding superfamily protein	bHLH			GO:GO:0046983
GRMZM2G028926	ATCPK1,CPK1(Ara)	-	-	-	-	-	-	-	AT5G04870	ATCPK1,CPK1	calcium dependent protein kinase 1	-	2.7.11.1	K13412	GO:GO:0006468,GO:GO:0004672
GRMZM2G009598	ereb159	NP_001148576	Chr1	292,178,941	292,180,261	ereb159	AP2-EREBP-transcription factor 159	DNA binding protein 	AT4G27950	CRF4	cytokinin response factor 4	ERF			GO:GO:0006355,GO:GO:0003700
GRMZM2G009598	ereb159	NP_001148576	Chr1	292,178,941	292,180,261	ereb159	AP2-EREBP-transcription factor 159	DNA binding protein 	AT4G27950	CRF4	cytokinin response factor 4	ERF			GO:GO:0006355,GO:GO:0003700
GRMZM2G009598	ereb159	NP_001148576	Chr1	292,178,941	292,180,261	ereb159	AP2-EREBP-transcription factor 159	DNA binding protein 	AT4G27950	CRF4	cytokinin response factor 4	ERF			GO:GO:0006355,GO:GO:0003700
GRMZM2G072584	GRMZM2G072584	-	-	-	-	-	-	-	AT5G01850		Protein kinase superfamily protein	-	2.7.12.1		
GRMZM2G072584	GRMZM2G072584	-	-	-	-	-	-	-	AT5G01850		Protein kinase superfamily protein	-	2.7.12.1		
GRMZM2G072584	GRMZM2G072584	-	-	-	-	-	-	-	AT5G01850		Protein kinase superfamily protein	-	2.7.12.1		
GRMZM2G072584	GRMZM2G072584	-	-	-	-	-	-	-	AT5G01850		Protein kinase superfamily protein	-	2.7.12.1		
GRMZM2G072584	GRMZM2G072584	-	-	-	-	-	-	-	AT5G01850		Protein kinase superfamily protein	-	2.7.12.1		
GRMZM2G072850	ABCB19,ATABCB19,ATMDR1,ATMDR11,ATPGP19,MDR1,MDR11,PGP19(Ara)	-	-	-	-	-	-	-	AT3G28860	ABCB19,ATABCB19,ATMDR1,ATMDR11,ATPGP19,MDR1,MDR11,PGP19	ATP binding cassette subfamily B19	-	3.6.3.44	K05658	GO:GO:0016887,GO:GO:0005524,GO:GO:0055085,GO:GO:0042626,GO:GO:0016021,GO:GO:0006810
GRMZM2G156365	GRMZM2G156365	NP_001146615	-	-	-	-	-	hypothetical protein LOC100280212 	AT5G45280		Pectinacetylesterase family protein	-			GO:GO:0016787
GRMZM2G421256	mybr20	NP_001145595	Chr2	14,726,120	14,728,827	mybr20	MYB-related-transcription factor 20	hypothetical protein LOC100279070 				MYB_related			
GRMZM2G036708	ARATH;BSAS3;1,ATCYSC1,CYSC1(Ara)	NP_001136599	-	-	-	-	-	hypothetical protein LOC100216722 	AT3G61440	ARATH;BSAS3;1,ATCYSC1,CYSC1	cysteine synthase C1	-	2.5.1.47	K13034	GO:GO:0050017,GO:GO:0019499,GO:GO:0005739,GO:GO:0004124
GRMZM2G142502	GRMZM2G142502	NP_001167928	-	-	-	-	-	hypothetical protein LOC100381642 				C2H2			
GRMZM2G142502	GRMZM2G142502	NP_001167928	-	-	-	-	-	hypothetical protein LOC100381642 				C2H2			
GRMZM2G102878	AtFaTA,FaTA(Ara)	NP_001150707	-	-	-	-	-	LOC100284340 	AT3G25110	AtFaTA,FaTA	fatA acyl-ACP thioesterase	-	3.1.2.14		GO:GO:0016790,GO:GO:0006633
GRMZM2G113794	UGT71B1(Ara)	NP_001131537	-	-	-	-	-	hypothetical protein LOC100192877 	AT3G21750	UGT71B1	UDP-glucosyl transferase 71B1	-			GO:GO:0016758,GO:GO:0008152
GRMZM2G022242	UGT78D2(Ara)	NP_001137065	-	-	-	-	-	hypothetical protein LOC100217238 	AT5G17050	UGT78D2	UDP-glucosyl transferase 78D2	-	2.4.1.115		GO:GO:0016758,GO:GO:0008152
GRMZM2G017351	gpm863	-	Chr2	210,584,713	210,592,622	gpm863		-	AT5G19010	MPK16	mitogen-activated protein kinase 16	-	2.7.11.24		
GRMZM2G156127	GRMZM2G156127	NP_001149878	-	-	-	-	-	cytokinin-N-glucosyltransferase 1 	AT3G55700		UDP-Glycosyltransferase superfamily protein	-	2.4.1.202		GO:GO:0016758,GO:GO:0008152
GRMZM2G156127	GRMZM2G156127	NP_001149878	-	-	-	-	-	cytokinin-N-glucosyltransferase 1 	AT3G55700		UDP-Glycosyltransferase superfamily protein	-	2.4.1.202		GO:GO:0016758,GO:GO:0008152
GRMZM2G156127	GRMZM2G156127	NP_001149878	-	-	-	-	-	cytokinin-N-glucosyltransferase 1 	AT3G55700		UDP-Glycosyltransferase superfamily protein	-	2.4.1.202		GO:GO:0016758,GO:GO:0008152
GRMZM2G156127	GRMZM2G156127	NP_001149878	-	-	-	-	-	cytokinin-N-glucosyltransferase 1 	AT3G55700		UDP-Glycosyltransferase superfamily protein	-	2.4.1.202		GO:GO:0016758,GO:GO:0008152
GRMZM2G156127	GRMZM2G156127	NP_001149878	-	-	-	-	-	cytokinin-N-glucosyltransferase 1 	AT3G55700		UDP-Glycosyltransferase superfamily protein	-	2.4.1.202		GO:GO:0016758,GO:GO:0008152
GRMZM2G036034	GRMZM2G036034	NP_001132662	-	-	-	-	-	hypothetical protein LOC100194138 	AT4G34450		coatomer gamma-2 subunit, putative / gamma-2 coat protein, putative / gamma-2 COP, putative	-		K17267	GO:GO:0030126,GO:GO:0016192,GO:GO:0006886,GO:GO:0005198,GO:GO:0030117
GRMZM2G036034	GRMZM2G036034	NP_001132662	-	-	-	-	-	hypothetical protein LOC100194138 	AT4G34450		coatomer gamma-2 subunit, putative / gamma-2 coat protein, putative / gamma-2 COP, putative	-		K17267	GO:GO:0030126,GO:GO:0016192,GO:GO:0006886,GO:GO:0005198,GO:GO:0030117
GRMZM2G036034	GRMZM2G036034	NP_001132662	-	-	-	-	-	hypothetical protein LOC100194138 	AT4G34450		coatomer gamma-2 subunit, putative / gamma-2 coat protein, putative / gamma-2 COP, putative	-		K17267	GO:GO:0030126,GO:GO:0016192,GO:GO:0006886,GO:GO:0005198,GO:GO:0030117
GRMZM2G036034	GRMZM2G036034	NP_001132662	-	-	-	-	-	hypothetical protein LOC100194138 	AT4G34450		coatomer gamma-2 subunit, putative / gamma-2 coat protein, putative / gamma-2 COP, putative	-		K17267	GO:GO:0030126,GO:GO:0016192,GO:GO:0006886,GO:GO:0005198,GO:GO:0030117
GRMZM2G055313	GRMZM2G055313	NP_001148073	-	-	-	-	-	xylosyltransferase oxt 	AT3G15350		Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein	-		K00771	GO:GO:0016020,GO:GO:0008375
GRMZM2G069177	atg18c	C4J4S6	Chr3	13,319,540	13,323,979	atg18c	autophagy18c	Putative uncharacterized protein 	AT3G56440	ATATG18D,ATG18D	homolog of yeast autophagy 18 (ATG18) D	-			
GRMZM2G044697	ATEGY2,EGY2(Ara)	NP_001131703	-	-	-	-	-	hypothetical protein LOC100193065 	AT5G05740	ATEGY2,EGY2	ethylene-dependent gravitropism-deficient and yellow-green-like 2	-			GO:GO:0006508,GO:GO:0004222
GRMZM2G044697	ATEGY2,EGY2(Ara)	NP_001131703	-	-	-	-	-	hypothetical protein LOC100193065 	AT5G05740	ATEGY2,EGY2	ethylene-dependent gravitropism-deficient and yellow-green-like 2	-			GO:GO:0006508,GO:GO:0004222
GRMZM5G835235	ATSK13,SK13(Ara)	NP_001150105	-	-	-	-	-	LOC100283734 	AT5G14640	ATSK13,SK13	shaggy-like kinase 13	-	2.7.11.1,2.7.11.26	K00924,K03083	GO:GO:0006468,GO:GO:0004672
GRMZM2G161658	GRMZM2G161658	NP_001148885	-	-	-	-	-	epoxide hydrolase 2 	AT4G02340		alpha/beta-Hydrolases superfamily protein	-	3.3.2.10		
AC212709.3_FG001	AC212709.3_FG001	-	-	-	-	-	-	-				-			
GRMZM2G105991	UGT88A1(Ara)	NP_001146271	-	-	-	-	-	hypothetical protein LOC100279846 	AT3G16520	UGT88A1	UDP-glucosyl transferase 88A1	-			GO:GO:0016758,GO:GO:0008152
GRMZM2G082203	rte2	NP_001167745	Chr3	128,114,749	128,119,422	rte2	rotten ear2	hypothetical protein LOC100381433 	AT3G62270		HCO3- transporter family	-			GO:GO:0016021,GO:GO:0006820,GO:GO:0016020,GO:GO:0005452
GRMZM2G701738	GRMZM2G701738	-	-	-	-	-	-	-				-			
GRMZM2G349187	CYP71A19(Ara)	NP_001170770	-	-	-	-	-	hypothetical protein LOC100384864 	AT4G13290	CYP71A19	cytochrome P450, family 71, subfamily A, polypeptide 19	-	1.14.13.121		GO:GO:0055114,GO:GO:0020037,GO:GO:0016705,GO:GO:0005506
GRMZM2G124658	GRMZM2G124658	-	-	-	-	-	-	-	AT3G12180		Cornichon family protein	-			GO:GO:0035556,GO:GO:0016020
GRMZM2G135713	PUB23(Ara)	-	-	-	-	-	-	-	AT2G35930	PUB23	plant U-box 23	-	6.3.2.19		GO:GO:0016567,GO:GO:0004842
GRMZM2G135713	PUB23(Ara)	-	-	-	-	-	-	-	AT2G35930	PUB23	plant U-box 23	-	6.3.2.19		GO:GO:0016567,GO:GO:0004842
GRMZM2G135722	GRMZM2G135722	NP_001147674	-	-	-	-	-	anthocyanidin 3-O-glucosyltransferase 	AT5G49690		UDP-Glycosyltransferase superfamily protein	-	2.4.1.273		GO:GO:0016758,GO:GO:0008152
GRMZM2G135722	GRMZM2G135722	NP_001147674	-	-	-	-	-	anthocyanidin 3-O-glucosyltransferase 	AT5G49690		UDP-Glycosyltransferase superfamily protein	-	2.4.1.273		GO:GO:0016758,GO:GO:0008152
GRMZM2G135722	GRMZM2G135722	NP_001147674	-	-	-	-	-	anthocyanidin 3-O-glucosyltransferase 	AT5G49690		UDP-Glycosyltransferase superfamily protein	-	2.4.1.273		GO:GO:0016758,GO:GO:0008152
GRMZM2G061289	GRMZM2G061289	-	-	-	-	-	-	-	AT5G49690		UDP-Glycosyltransferase superfamily protein	-	2.4.1.273		GO:GO:0016758,GO:GO:0008152
GRMZM2G061289	GRMZM2G061289	-	-	-	-	-	-	-	AT5G49690		UDP-Glycosyltransferase superfamily protein	-	2.4.1.273		GO:GO:0016758,GO:GO:0008152
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM5G885529	GRMZM5G885529	NP_001167960	-	-	-	-	-	hypothetical protein LOC100381676 	AT5G18440			-		K14404	
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G054821	AGD14,ZIGA4(Ara)	NM_001152680	-	-	-	-	-	hypothetical protein LOC100279721 (LOC100279721), mRNA	AT1G08680	AGD14,ZIGA4	ARF GAP-like zinc finger-containing protein ZIGA4	-			GO:GO:0005096
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G069024	BGLU11(Ara)	NP_001136681	-	-	-	-	-	hypothetical protein LOC100216811 	AT1G02850	BGLU11	beta glucosidase 11	-	3.2.1.21	K01188	GO:GO:0005975,GO:GO:0004553
GRMZM2G117022	GRMZM2G117022	-	-	-	-	-	-	-	AT5G04920		EAP30/Vps36 family protein	-		K12190	
GRMZM2G117022	GRMZM2G117022	-	-	-	-	-	-	-	AT5G04920		EAP30/Vps36 family protein	-		K12190	
GRMZM2G357399	ARFA1E,ATARFA1E(Ara)	NP_001149117	-	-	-	-	-	ADP-ribosylation factor 	AT3G62290	ARFA1E,ATARFA1E	ADP-ribosylation factor A1E	-		K07977,K07937	
GRMZM2G092474	ATOSM34,OSM34(Ara)	NP_001143894	-	-	-	-	-	hypothetical protein LOC100276695 	AT4G11650	ATOSM34,OSM34	osmotin 34	-			
GRMZM2G073003	CYC1BAT,CYCB1;2(Ara)	NM_001156461	-	-	-	-	-	cyclin IaZm (LOC100283561), mRNA	AT5G06150	CYC1BAT,CYCB1;2	Cyclin family protein	-		K05868	GO:GO:0005634
GRMZM2G073003	CYC1BAT,CYCB1;2(Ara)	NM_001156461	-	-	-	-	-	cyclin IaZm (LOC100283561), mRNA	AT5G06150	CYC1BAT,CYCB1;2	Cyclin family protein	-		K05868	GO:GO:0005634
GRMZM2G073376	GRMZM2G073376	NP_001148167	-	-	-	-	-	indole-3-acetate beta-glucosyltransferase 	AT2G30150		UDP-Glycosyltransferase superfamily protein	-			GO:GO:0016758,GO:GO:0008152
GRMZM2G073376	GRMZM2G073376	NP_001148167	-	-	-	-	-	indole-3-acetate beta-glucosyltransferase 	AT2G30150		UDP-Glycosyltransferase superfamily protein	-			GO:GO:0016758,GO:GO:0008152
