GeneSymbol	altName	NCBI_Accession	Chr	Start	End	Zma_alias	Zma_fullname	Zma_description	Ara_ortholog	Ara_alias	Annotation	TF	EC	KO	GO
GRMZM2G098557	sbp7	-	Chr4	200,132,272	200,137,588	sbp7	SBP-transcription factor 7	-	AT1G20980	ATSPL14,FBR6,SPL14,SPL1R2	squamosa promoter binding protein-like 14	SBP			GO:GO:0005634,GO:GO:0003677
GRMZM2G098557	sbp7	-	Chr4	200,132,272	200,137,588	sbp7	SBP-transcription factor 7	-	AT1G20980	ATSPL14,FBR6,SPL14,SPL1R2	squamosa promoter binding protein-like 14	SBP			GO:GO:0005634,GO:GO:0003677
GRMZM2G018251	FEY,FEY3(Ara)	NP_001150950	-	-	-	-	-	WW domain-containing oxidoreductase 	AT4G27760	FEY,FEY3	NAD(P)-binding Rossmann-fold superfamily protein	-	1.1.1.300		
GRMZM2G018251	FEY,FEY3(Ara)	NP_001150950	-	-	-	-	-	WW domain-containing oxidoreductase 	AT4G27760	FEY,FEY3	NAD(P)-binding Rossmann-fold superfamily protein	-	1.1.1.300		
GRMZM2G023081	PCR2(Ara)	NP_001148298	-	-	-	-	-	PGPS/D12 	AT1G14870	PCR2	PLANT CADMIUM RESISTANCE 2	-			
GRMZM2G096591	GRMZM2G096591	NP_001150853	-	-	-	-	-	glucan endo-1,3-beta-glucosidase 7 	AT5G42720		Glycosyl hydrolase family 17 protein	-	3.2.1.39		GO:GO:0005975,GO:GO:0004553
GRMZM2G019006	AtRLP46,RLP46(Ara)	-	-	-	-	-	-	-	AT4G04220	AtRLP46,RLP46	receptor like protein 46	-	2.7.11.1		
GRMZM2G133895	GRMZM2G133895	NP_001169959	-	-	-	-	-	hypothetical protein LOC100383858 	AT4G35930		F-box family protein	-			
GRMZM2G133895	GRMZM2G133895	NP_001169959	-	-	-	-	-	hypothetical protein LOC100383858 	AT4G35930		F-box family protein	-			
GRMZM2G133895	GRMZM2G133895	NP_001169959	-	-	-	-	-	hypothetical protein LOC100383858 	AT4G35930		F-box family protein	-			
GRMZM2G133895	GRMZM2G133895	NP_001169959	-	-	-	-	-	hypothetical protein LOC100383858 	AT4G35930		F-box family protein	-			
GRMZM2G133895	GRMZM2G133895	NP_001169959	-	-	-	-	-	hypothetical protein LOC100383858 	AT4G35930		F-box family protein	-			
GRMZM2G466835	AtRLP46,RLP46(Ara)	NP_001170171	-	-	-	-	-	hypothetical protein LOC100384111 	AT4G04220	AtRLP46,RLP46	receptor like protein 46	-	2.7.11.1		GO:GO:0005515
GRMZM2G466835	AtRLP46,RLP46(Ara)	NP_001170171	-	-	-	-	-	hypothetical protein LOC100384111 	AT4G04220	AtRLP46,RLP46	receptor like protein 46	-	2.7.11.1		GO:GO:0005515
GRMZM2G466835	AtRLP46,RLP46(Ara)	NP_001170171	-	-	-	-	-	hypothetical protein LOC100384111 	AT4G04220	AtRLP46,RLP46	receptor like protein 46	-	2.7.11.1		GO:GO:0005515
GRMZM2G168506	GRMZM2G168506	NP_001132477	-	-	-	-	-	hypothetical protein LOC100193935 	AT3G28480		Oxoglutarate/iron-dependent oxygenase	-	1.14.11.2	K00472	GO:GO:0055114,GO:GO:0016491
GRMZM2G168506	GRMZM2G168506	NP_001132477	-	-	-	-	-	hypothetical protein LOC100193935 	AT3G28480		Oxoglutarate/iron-dependent oxygenase	-	1.14.11.2	K00472	GO:GO:0055114,GO:GO:0016491
GRMZM2G017805	crup1	NP_001169781	Chr5	35,290,697	35,295,045	crup1	CruP paralog1	hypothetical protein LOC100383668 	AT1G14330		Galactose oxidase/kelch repeat superfamily protein	-			GO:GO:0005515
GRMZM2G012933	GRMZM2G012933	-	-	-	-	-	-	-	AT3G14470		NB-ARC domain-containing disease resistance protein	-			GO:GO:0043531
GRMZM2G012933	GRMZM2G012933	-	-	-	-	-	-	-	AT3G14470		NB-ARC domain-containing disease resistance protein	-			GO:GO:0043531
GRMZM2G350626	ACYB-1,CYB-1(Ara)	NP_001168255	-	-	-	-	-	hypothetical protein LOC100382018 	AT5G38630	ACYB-1,CYB-1	cytochrome B561-1	-	1.16.5.1		GO:GO:0016021
GRMZM2G350626	ACYB-1,CYB-1(Ara)	NP_001168255	-	-	-	-	-	hypothetical protein LOC100382018 	AT5G38630	ACYB-1,CYB-1	cytochrome B561-1	-	1.16.5.1		GO:GO:0016021
GRMZM2G108087	ATSYP22,ATVAM3,SGR3,SYP22,VAM3(Ara)	B4FGW6	-	-	-	-	-	Putative uncharacterized protein 	AT5G46860	ATSYP22,ATVAM3,SGR3,SYP22,VAM3	Syntaxin/t-SNARE family protein	-		K08488	
GRMZM2G075562	col5	NP_001159328	Chr5	204,223,654	204,228,519	col5	C2C2-CO-like-transcription factor 5	hypothetical protein LOC100304421 	AT5G48250		B-box type zinc finger protein with CCT domain	DBB			GO:GO:0008270,GO:GO:0005622,GO:GO:0005515
GRMZM2G122231	trps11	NP_001148318	Chr5	213,103,736	213,107,678	trps11	trehalose-6-phosphate synthase11	LOC100281927 	AT2G18700	ATTPS11,ATTPSB,TPS11	trehalose phosphatase/synthase 11	-	2.4.1.15,3.1.3.12	K16055	GO:GO:0005992,GO:GO:0003824
GRMZM2G004435	GRMZM2G004435	NP_001148255	-	-	-	-	-	polygalacturonase 	AT4G33440		Pectin lyase-like superfamily protein	-			
GRMZM2G144362	GRMZM2G144362	NP_001131491	-	-	-	-	-	hypothetical protein LOC100192828 	AT2G44420		protein N-terminal asparagine amidohydrolase family protein	-			GO:GO:0008418
GRMZM2G137593	GRMZM2G137593	NP_001144663	-	-	-	-	-	hypothetical protein LOC100277688 	AT5G44250		Protein of unknown function DUF829, transmembrane 53	-			
GRMZM2G129246	go1	NP_001146005	Chr7	5,528,435	5,532,236	go1	glycolate oxidase1	hypothetical protein LOC100279535 	AT3G14420		Aldolase-type TIM barrel family protein	-	1.1.3.15		GO:GO:0016491
AC148167.6_FG001	AC148167.6_FG001	NP_001150978	-	-	-	-	-	LOC100284611 	AT1G54460		TPX2 (targeting protein for Xklp2) protein family	-			
GRMZM2G095562	GRMZM2G095562	NP_001168691	-	-	-	-	-	hypothetical protein LOC100382481 	AT3G15430		Regulator of chromosome condensation (RCC1) family protein	-			
GRMZM2G083394	GRMZM2G083394	-	-	-	-	-	-	-	AT5G01660			-			GO:GO:0005515
GRMZM2G063144	ATMPK20,MPK20(Ara)	-	-	-	-	-	-	-	AT2G42880	ATMPK20,MPK20	MAP kinase 20	-	2.7.11.24		GO:GO:0006468,GO:GO:0005524,GO:GO:0004672
GRMZM2G058690	IQD26(Ara)	-	-	-	-	-	-	-	AT3G16490	IQD26	IQ-domain 26	-			GO:GO:0005515
GRMZM2G173763	GRMZM2G173763	-	-	-	-	-	-	-	AT3G45830			-		K11671	GO:GO:0031011
GRMZM2G173763	GRMZM2G173763	-	-	-	-	-	-	-	AT3G45830			-		K11671	GO:GO:0031011
GRMZM2G474726	ATTERC,PDE149(Ara)	-	-	-	-	-	-	-	AT5G12130	ATTERC,PDE149	integral membrane TerC family protein	-			GO:GO:0016021
GRMZM2G474726	ATTERC,PDE149(Ara)	-	-	-	-	-	-	-	AT5G12130	ATTERC,PDE149	integral membrane TerC family protein	-			GO:GO:0016021
GRMZM2G050548	GRMZM2G050548	-	-	-	-	-	-	-	AT2G26730		Leucine-rich repeat protein kinase family protein	-	2.7.11.1		GO:GO:0006468,GO:GO:0005524,GO:GO:0004672
GRMZM2G144028	GRMZM2G144028	NP_001141425	-	-	-	-	-	hypothetical protein LOC100273535 	AT1G18390		Protein kinase superfamily protein	-	2.7.11.1		GO:GO:0006468,GO:GO:0005524,GO:GO:0004672
GRMZM2G360219	GRMZM2G360219	-	-	-	-	-	-	-	AT3G47570		Leucine-rich repeat protein kinase family protein	-	2.7.11.1		GO:GO:0005515
GRMZM2G360219	GRMZM2G360219	-	-	-	-	-	-	-	AT3G47570		Leucine-rich repeat protein kinase family protein	-	2.7.11.1		GO:GO:0005515
GRMZM2G176638	GRMZM2G176638	-	-	-	-	-	-	-	AT1G67340		HCP-like superfamily protein with MYND-type zinc finger	-			
AC155376.2_FG004	AFH1,AHF1,ATFH1,FH1(Ara)	-	-	-	-	-	-	-	AT3G25500	AFH1,AHF1,ATFH1,FH1	formin homology 1	-			
AC155376.2_FG004	AFH1,AHF1,ATFH1,FH1(Ara)	-	-	-	-	-	-	-	AT3G25500	AFH1,AHF1,ATFH1,FH1	formin homology 1	-			
AC155376.2_FG004	AFH1,AHF1,ATFH1,FH1(Ara)	-	-	-	-	-	-	-	AT3G25500	AFH1,AHF1,ATFH1,FH1	formin homology 1	-			
AC155376.2_FG004	AFH1,AHF1,ATFH1,FH1(Ara)	-	-	-	-	-	-	-	AT3G25500	AFH1,AHF1,ATFH1,FH1	formin homology 1	-			
GRMZM2G163081	rpl5b	NP_001151284	Chr8	163,737,203	163,740,608	rpl5b	60S ribosomal protein L5-1 homolog b	60S ribosomal protein L5-1 	AT3G25520	ATL5,OLI5,PGY3,RPL5A	ribosomal protein L5	-		K02932	GO:GO:0006412,GO:GO:0005840,GO:GO:0005622,GO:GO:0003735,GO:GO:0008097
GRMZM2G009794	GRMZM2G009794	-	-	-	-	-	-	-				-			
GRMZM2G173868	GRMZM2G173868	NP_001132501	-	-	-	-	-	hypothetical protein LOC100193961 	AT5G43710		Glycosyl hydrolase family 47 protein	-		K10085	GO:GO:0016020,GO:GO:0005509,GO:GO:0004571
GRMZM2G173868	GRMZM2G173868	NP_001132501	-	-	-	-	-	hypothetical protein LOC100193961 	AT5G43710		Glycosyl hydrolase family 47 protein	-		K10085	GO:GO:0016020,GO:GO:0005509,GO:GO:0004571
GRMZM2G173868	GRMZM2G173868	NP_001132501	-	-	-	-	-	hypothetical protein LOC100193961 	AT5G43710		Glycosyl hydrolase family 47 protein	-		K10085	GO:GO:0016020,GO:GO:0005509,GO:GO:0004571
GRMZM2G166837	GRMZM2G166837	-	-	-	-	-	-	-	AT1G76470		NAD(P)-binding Rossmann-fold superfamily protein	-			
GRMZM2G166837	GRMZM2G166837	-	-	-	-	-	-	-	AT1G76470		NAD(P)-binding Rossmann-fold superfamily protein	-			
GRMZM2G166837	GRMZM2G166837	-	-	-	-	-	-	-	AT1G76470		NAD(P)-binding Rossmann-fold superfamily protein	-			
GRMZM2G166837	GRMZM2G166837	-	-	-	-	-	-	-	AT1G76470		NAD(P)-binding Rossmann-fold superfamily protein	-			
GRMZM2G166837	GRMZM2G166837	-	-	-	-	-	-	-	AT1G76470		NAD(P)-binding Rossmann-fold superfamily protein	-			
GRMZM2G041022	GRMZM2G041022	NP_001141181	-	-	-	-	-	hypothetical protein LOC100273268 				-			
GRMZM2G041022	GRMZM2G041022	NP_001141181	-	-	-	-	-	hypothetical protein LOC100273268 				-			
GRMZM2G041022	GRMZM2G041022	NP_001141181	-	-	-	-	-	hypothetical protein LOC100273268 				-			
GRMZM2G041022	GRMZM2G041022	NP_001141181	-	-	-	-	-	hypothetical protein LOC100273268 				-			
GRMZM2G041022	GRMZM2G041022	NP_001141181	-	-	-	-	-	hypothetical protein LOC100273268 				-			
GRMZM2G041022	GRMZM2G041022	NP_001141181	-	-	-	-	-	hypothetical protein LOC100273268 				-			
GRMZM2G049288	GRV2,KAM2(Ara)	-	-	-	-	-	-	-	AT2G26890	GRV2,KAM2	DNAJ heat shock N-terminal domain-containing protein	-		K09533	
GRMZM5G865819	KAM1,MUR3(Ara)	-	-	-	-	-	-	-	AT2G20370	KAM1,MUR3	Exostosin family protein	-			
GRMZM2G104310	gdcp1	Q8W523	Chr10	5,874,253	5,880,613	gdcp1	glycine decarboxylase1	Glycine cleavage complex P-protein Fragment 	AT2G26080	AtGLDP2,GLDP2	glycine decarboxylase P-protein 2	-	1.4.4.2	K00281	GO:GO:0055114,GO:GO:0006546,GO:GO:0004375
GRMZM2G000823	LOS4(Ara)	-	-	-	-	-	-	-	AT3G53110	LOS4	P-loop containing nucleoside triphosphate hydrolases superfamily protein	-	3.6.4.13	K18655	GO:GO:0005524,GO:GO:0003676
GRMZM2G060148	GRMZM2G060148	NP_001140723	-	-	-	-	-	hypothetical protein LOC100272798 	AT1G13340		Regulator of Vps4 activity in the MVB pathway protein	-			
GRMZM2G148475	GRMZM2G148475	NP_001170238	-	-	-	-	-	hypothetical protein LOC100384191 				-			
GRMZM2G148475	GRMZM2G148475	NP_001170238	-	-	-	-	-	hypothetical protein LOC100384191 				-			
GRMZM2G148475	GRMZM2G148475	NP_001170238	-	-	-	-	-	hypothetical protein LOC100384191 				-			
GRMZM2G028500	GRMZM2G028500	NP_001142814	-	-	-	-	-	hypothetical protein LOC100275193 	AT4G39235			-			
GRMZM2G131575	ATPD(Ara)	NM_001139099	-	-	-	-	-	hypothetical protein LOC100194038 (LOC100194038), mRNA	AT4G09650	ATPD	ATP synthase delta-subunit gene	-			GO:GO:0046933,GO:GO:0015986
GRMZM2G040030	ATCOR413-PM2,COR413-PM2(Ara)	NP_001105202	-	-	-	-	-	LOC542099 	AT3G50830	ATCOR413-PM2,COR413-PM2	cold-regulated 413-plasma membrane 2	-			
GRMZM2G081943	GRMZM2G081943	NP_001131986	-	-	-	-	-	hypothetical protein LOC100193385 	AT1G55340		Protein of unknown function (DUF1639)	-			
GRMZM2G040920	GRMZM2G040920	-	-	-	-	-	-	-	AT4G31350		Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein	-			GO:GO:0016020,GO:GO:0008375
GRMZM2G142544	GRMZM2G142544	NP_001146517	-	-	-	-	-	hypothetical protein LOC100280107 	AT2G45910		U-box domain-containing protein kinase family protein	-	2.7.11.1		GO:GO:0006468,GO:GO:0005524,GO:GO:0004672
GRMZM2G142544	GRMZM2G142544	NP_001146517	-	-	-	-	-	hypothetical protein LOC100280107 	AT2G45910		U-box domain-containing protein kinase family protein	-	2.7.11.1		GO:GO:0006468,GO:GO:0005524,GO:GO:0004672
GRMZM2G142544	GRMZM2G142544	NP_001146517	-	-	-	-	-	hypothetical protein LOC100280107 	AT2G45910		U-box domain-containing protein kinase family protein	-	2.7.11.1		GO:GO:0006468,GO:GO:0005524,GO:GO:0004672
GRMZM2G166776	GRMZM2G166776	NP_001142531	-	-	-	-	-	hypothetical protein LOC100274774 	AT5G07330			-			
GRMZM2G105652	GRMZM2G105652	NP_001146072	-	-	-	-	-	hypothetical protein LOC100279604 	AT1G10385		Vps51/Vps67 family (components of vesicular transport) protein	-			
GRMZM2G079962	GRMZM2G079962	-	-	-	-	-	-	-				-			
AC190933.3_FG004	AC190933.3_FG004	-	-	-	-	-	-	-	AT2G47710		Adenine nucleotide alpha hydrolases-like superfamily protein	-			GO:GO:0006950
GRMZM2G476699	GRMZM2G476699	NP_001130300	-	-	-	-	-	hypothetical protein LOC100191394 	AT3G18180		Glycosyltransferase family 61 protein	-	2.4.1.255		GO:GO:0016757
GRMZM2G149330	GRMZM2G149330	-	-	-	-	-	-	-	AT1G27435			-			
GRMZM2G149330	GRMZM2G149330	-	-	-	-	-	-	-	AT1G27435			-			
GRMZM2G149330	GRMZM2G149330	-	-	-	-	-	-	-	AT1G27435			-			
GRMZM2G302293	GRMZM2G302293	NP_001142614	-	-	-	-	-	hypothetical protein LOC100274883 	AT5G53900		Serine/threonine-protein kinase WNK (With No Lysine)-related	-			
GRMZM2G005082	GRMZM2G005082	NP_001144992	-	-	-	-	-	hypothetical protein LOC100278152 	AT5G56590		O-Glycosyl hydrolases family 17 protein	-	3.2.1.39		GO:GO:0005975,GO:GO:0004553
GRMZM2G126453	GRMZM2G126453	-	-	-	-	-	-	-	AT1G02890		AAA-type ATPase family protein	-	3.6.1.3		GO:GO:0009378,GO:GO:0006310,GO:GO:0006281
AC218998.2_FG003	AC218998.2_FG003	-	-	-	-	-	-	-	AT4G19890		Pentatricopeptide repeat (PPR-like) superfamily protein	-			
AC218998.2_FG003	AC218998.2_FG003	-	-	-	-	-	-	-	AT4G19890		Pentatricopeptide repeat (PPR-like) superfamily protein	-			
GRMZM2G055135	LOL1(Ara)	NP_001151942	-	-	-	-	-	LOC100285579 	AT1G32540	LOL1	lsd one like 1	LSD			
GRMZM2G080178	sfp2	NP_001132356	Chr4	75,699,091	75,703,154	sfp2	sulfate transporter2	hypothetical protein LOC100193800 	AT1G22150	SULTR1;3	sulfate transporter 1;3	-		K17470	GO:GO:0016021,GO:GO:0015116,GO:GO:0008272,GO:GO:0055085,GO:GO:0016020,GO:GO:0008271,GO:GO:0005886
GRMZM2G160541	pal3	-	Chr4	143,404,315	143,408,521	pal3	phenylalanine ammonia lyase3	-	AT3G10340	PAL4	phenylalanine ammonia-lyase 4	-	4.3.1.24		
GRMZM2G063850	GRMZM2G063850	C4J4W3	-	-	-	-	-	Putative uncharacterized protein 	AT1G62740		stress-inducible protein, putative	-		K09553	GO:GO:0005515
GRMZM2G394528	GRMZM2G394528	C4JBN5	-	-	-	-	-	Putative uncharacterized protein 	AT4G00750		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	-			GO:GO:0008168
GRMZM2G054012	GRMZM2G054012	NP_001150550	-	-	-	-	-	LOC100284182 	AT4G29390		Ribosomal protein S30 family protein	-		K02983	GO:GO:0006412,GO:GO:0005840,GO:GO:0005622,GO:GO:0003735
GRMZM2G167103	GRMZM2G167103	NP_001149698	-	-	-	-	-	LOC100283325 	AT3G30340		nodulin MtN21 /EamA-like transporter family protein	-		K02940	GO:GO:0016021,GO:GO:0016020,GO:GO:0019843,GO:GO:0006412,GO:GO:0005840,GO:GO:0003735,GO:GO:0022857
GRMZM2G005199	GRMZM2G005199	NP_001130899	-	-	-	-	-	hypothetical protein LOC100192003 	AT5G37590		Tetratricopeptide repeat (TPR)-like superfamily protein	-			
GRMZM2G012933	GRMZM2G012933	-	-	-	-	-	-	-	AT3G14470		NB-ARC domain-containing disease resistance protein	-			GO:GO:0043531
GRMZM2G012933	GRMZM2G012933	-	-	-	-	-	-	-	AT3G14470		NB-ARC domain-containing disease resistance protein	-			GO:GO:0043531
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
GRMZM2G014180	ATRAP74,RAP74(Ara)	NP_001148823	-	-	-	-	-	LOC100282440 	AT4G12610	ATRAP74,RAP74	transcription activators;DNA binding;RNA polymerase II transcription factors;catalytics;transcription initiation factors	-			GO:GO:0032968,GO:GO:0006367,GO:GO:0005634,GO:GO:0003677
